District,Dem2018,Rep2018,state,party,voteshare,TRUMP.SCORE,Inc_fname,Inc_lname,inc_year_elected,inc_birth,inc_gender,inc_race,inc_religion,inc_lgbtq,inc_2016status,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,HouseD_2016,HouseR_2016,HouseR_2014,HouseR_2012,White,Black,Latino,Asian,Native,Other,BA,BA_WHite,Med_Income,Inc_F,Rep.forecast
FL-9,58.0,42.0,FL,D,58.9,21.5,Darren,Soto,2016,1978,Man,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Open - Ran for Senate and lost in primary,54.8,41.9,55.6,43.4,54.6,44.5,57.5,42.5,47.4,43.4,51.4,11.3,33.2,2.6,0.2,1.2,24.6,28.8,49899,0,41.1
GA-1,42.3,57.7,GA,R,62.4,97.7,Buddy,Carter,2014,1957,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,40.9,56.4,43.0,55.9,44.4,55.0,0.0,100.0,52.8,63.0,64.0,29.1,3.8,1.4,0.3,1.3,25.0,28.2,50931,0,62.4
GA-10,37.1,62.9,GA,R,67.88,90.3,Jody,Hice,2014,1960,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,35.8,61.3,36.3,62.5,38.8,60.4,0.0,100.0,61.6,100.0,69.8,24.7,2.9,1.5,0.1,1.0,26.7,30.4,51532,0,67.88
GA-11,38.2,61.8,GA,R,66.9,88.9,Barry,Loudermilk,2014,1963,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,35.3,60.3,31.5,66.9,34.7,64.3,32.6,67.4,61.4,68.6,75.3,16.0,5.0,2.3,0.2,1.2,41.0,44.1,69610,0,66.9
GA-12,40.5,59.5,GA,R,59.1,96.7,Rick,Allen,2014,1951,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,40.7,56.9,43.6,55.4,43.9,55.6,38.4,61.6,26.9,46.3,59.8,34.3,3.3,1.2,0.2,1.0,20.9,23.6,43933,0,59.1
GA-13,76.2,23.8,GA,D,75.36,27.3,David,Scott,2002,1946,Man,Black - African-American,Christian - Baptist,No,Re-elected,71.0,26.6,69.2,30.0,67.1,32.3,100.0,0.0,51.3,28.3,33.4,58.1,4.8,2.2,0.1,1.4,29.6,26.0,57342,0,24.64
GA-14,23.5,76.5,GA,R,80.21,97.8,Tom,Graves,2010 Special,1970,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,22.1,75.0,25.3,73.2,27.8,71.0,0.0,100.0,46.5,73.0,85.1,8.7,4.4,0.7,0.2,0.9,18.1,18.5,48691,0,80.21
GA-2,59.6,40.4,GA,D,66.05,44.4,Sanford,Bishop,1992,1947,Man,Black - African-American,Christian - Baptist,No,Re-elected,55.0,43.3,58.6,40.8,57.9,41.6,61.2,38.8,52.5,36.2,44.6,50.7,2.6,0.9,0.2,1.1,17.6,22.1,35617,0,33.95
GA-3,34.5,65.5,GA,R,68.1,96.8,Drew,Ferguson,2016,1966,Man,White - Non-Hispanic,Christian - Nondenominational,No,Open - Retired,32.8,64.3,33.0,65.9,34.0,65.3,31.7,68.3,58.7,100.0,70.8,23.3,3.3,1.2,0.2,1.2,26.5,28.3,56240,0,68.1
GA-4,78.8,21.2,GA,D,72.75,14.3,Hank,Johnson,2006,1954,Man,Black - African-American,Buddhist - Soka Gakkai,No,Re-elected,75.3,22.2,73.6,25.6,73.2,26.3,75.7,24.3,65.4,26.4,30.9,60.7,3.8,3.2,0.1,1.3,29.8,38.1,51686,0,27.25
GA-6,50.5,49.5,GA,R,50.05,98.3,Karen,Handel,2017 Special,1962,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,46.8,48.3,37.5,60.8,40.1,59.0,38.3,61.7,74.9,64.5,72.4,14.3,4.9,6.8,0.3,1.4,60.6,66.7,87139,1,50.05
GA-7,49.8,50.2,GA,R,53.12,97.8,Rob,Woodall,2010,1970,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,44.8,51.1,38.3,60.2,39.1,60.1,39.6,60.4,70.6,62.2,58.5,20.4,9.1,10.4,0.2,1.4,39.6,44.9,72481,0,53.12
GA-9,20.5,79.5,GA,R,79.61,97.8,Doug,Collins,2012,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,19.3,77.8,20.5,78.1,24.3,74.7,0.0,100.0,44.5,76.2,86.8,7.0,4.2,1.0,0.2,0.8,21.6,24.0,50154,0,79.61
HI-2,77.4,22.6,HI,D,79.35,23.9,Tulsi,Gabbard,2012,1981,Woman,Pacific Islander - Samoan,Hindu,No,Re-elected,61.4,29.6,71.4,26.7,73.4,24.9,81.2,18.8,74.7,19.5,33.7,1.6,9.2,35.9,0.2,19.5,27.8,42.6,70867,1,20.65
IA-1,50.9,46.0,IA,R,42.93,92.2,Rod,Blum,2014,1955,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,45.2,48.7,56.2,42.5,58.5,40.4,46.1,53.7,21.4,42.2,93.3,2.8,1.9,0.9,0.3,0.9,27.1,27.1,57402,0,42.93
IA-2,54.8,42.6,IA,D,56.25,34.8,Dave,Loebsack,2006,1952,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,45.0,49.1,55.8,42.7,57.1,41.6,53.7,46.2,35.4,43.3,91.2,3.1,3.3,1.1,0.2,1.1,28.5,28.7,52150,0,43.75
IA-3,49.0,47.5,IA,R,46.38,98.9,David,Young,2014,1968,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,45.0,48.5,51.4,47.2,52.4,46.3,39.7,53.4,30.6,54.5,90.5,3.3,3.3,1.7,0.2,1.0,33.1,34.5,62323,0,46.38
IA-4,47.0,50.4,IA,R,51.37,92.2,Steve,King,2002,1949,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,33.5,60.9,45.3,53.4,48.5,50.2,38.6,61.2,67.1,54.1,93.7,1.2,3.0,0.9,0.4,0.8,24.7,24.8,53335,0,51.37
ID-2,39.3,60.7,ID,R,63.8,98.9,Mike,Simpson,1998,1950,Man,White - Non-Hispanic,Christian - Mormon,No,Re-elected,29.8,54.5,33.1,64.1,37.1,60.5,29.4,62.9,14.9,65.2,88.1,0.6,7.6,1.1,1.1,1.4,30.1,32.5,51294,0,63.8
IL-1,73.4,19.9,IL,D,76.56,13.2,Bobby,Rush,1992,1946,Man,Black - African-American,Christian - Protestant,No,Re-elected,75.4,21.4,78.9,20.2,80.9,18.6,74.1,25.9,44.3,26.2,38.0,53.0,6.4,1.3,0.2,1.1,28.9,35.9,50523,0,23.44
IL-10,65.4,34.6,IL,D,66.89,38.5,Brad,Schneider,2016,1961,Man,White - Non-Hispanic,Jewish,No,Defeated,62.0,32.6,57.5,41.1,63.0,35.9,52.6,47.4,33.9,49.4,71.2,7.2,12.2,7.8,0.2,1.4,44.1,51.2,74971,0,33.11
IL-11,63.6,36.4,IL,D,67.67,22.0,Bill,Foster,"2012, 2008 Special-2010",1955,Man,White - Non-Hispanic,Unknown,No,Re-elected,58.9,35.4,57.8,40.6,61.8,37.7,60.4,39.6,35.8,41.4,64.4,11.9,16.1,6.0,0.1,1.5,36.0,42.5,72198,0,32.33
IL-12,45.2,51.8,IL,R,50.42,98.9,Mike,Bost,2014,1960,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,40.2,55.0,49.7,48.1,54.7,43.6,39.7,54.3,58.9,45.3,79.8,15.8,2.2,0.8,0.2,1.1,24.0,25.0,47430,0,50.42
IL-13,49.3,50.7,IL,R,51.77,96.8,Rodney,Davis,2012,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,44.2,49.7,48.6,48.9,54.6,43.6,40.3,59.7,65.8,50.2,83.9,10.1,2.4,1.9,0.2,1.5,30.2,30.1,49758,0,51.77
IL-14,52.3,47.7,IL,R,48.49,96.8,Randy,Hultgren,2010,1966,Man,White - Non-Hispanic,Christian - Evangelical Protestant,No,Re-elected,44.8,48.7,44.2,54.2,50.0,47.6,40.7,59.3,65.2,58.8,85.4,3.1,7.1,3.4,0.1,0.8,42.1,43.1,90345,0,48.49
IL-15,28.0,72.0,IL,R,69.71,98.9,John,Shimkus,1996,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,24.5,70.7,34.1,63.9,42.8,55.4,0.0,100.0,41.8,68.6,92.8,4.2,1.7,0.4,0.2,0.8,20.2,20.6,49927,0,69.71
IL-16,40.3,59.7,IL,R,57.95,98.9,Adam,Kinzinger,2010,1978,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,38.3,55.5,45.2,52.9,50.1,48.2,0.0,100.0,60.3,61.8,89.1,3.5,5.2,1.0,0.1,0.9,22.2,22.5,57182,0,57.95
IL-17,61.8,38.2,IL,D,65.2,35.9,Cheri,Bustos,2012,1961,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,46.7,47.4,57.6,40.6,60.0,38.5,60.3,39.7,62.2,46.7,82.6,10.1,5.2,0.8,0.2,1.1,18.7,20.5,45360,1,34.8
IL-18,32.5,67.5,IL,R,67.41,94.6,Darin,LaHood,2015 Special,1968,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,33.3,60.6,37.4,60.7,44.1,54.4,27.9,72.1,68.0,74.2,92.2,3.6,1.8,1.2,0.1,1.0,31.7,31.0,60857,0,67.41
IL-2,81.0,19.0,IL,D,82.18,12.0,Robin,Kelly,2013 Special,1956,Woman,Black - African-American,Christian - Nondenominational,No,Re-elected,78.0,19.1,80.7,18.5,81.1,18.3,79.8,20.2,60.0,26.8,33.0,56.6,8.8,0.6,0.1,1.0,23.3,25.0,48417,1,17.82
IL-3,73.5,26.2,IL,D,68.59,40.0,Dan,Lipinski,2004,1966,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,55.2,39.9,55.9,42.6,58.4,40.5,100.0,0.0,66.7,31.5,68.2,5.4,22.3,3.3,0.0,0.7,26.9,32.1,66270,0,31.41
IL-5,76.5,23.5,IL,D,75.49,22.2,Mike,Quigley,2008,1959,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,70.5,23.9,66.0,31.8,69.9,28.8,67.8,27.5,73.1,30.3,74.5,2.9,15.0,6.0,0.1,1.5,54.7,60.2,80269,0,24.51
IL-6,53.1,46.9,IL,R,50.1,94.6,Peter,Roskam,2006,1961,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,50.2,43.2,45.1,53.3,51.3,47.3,40.8,59.2,69.2,59.2,84.1,2.4,6.0,6.7,0.0,0.8,52.2,53.4,97387,0,50.1
IL-7,87.6,12.4,IL,D,87.45,12.0,Danny,Davis,1996,1941,Man,Black - African-American,Christian - Baptist,No,Re-elected,87.4,9.2,87.2,11.8,89.4,9.9,84.2,15.8,35.6,11.5,32.5,51.5,9.5,5.2,0.1,1.2,40.7,73.7,54147,0,12.55
IL-8,65.8,34.2,IL,D,67.66,25.0,Raja,Krishnamoorthi,2016,1973,Man,Asian - Indian,Hindu,No,Open - Ran for Senate and won,58.1,36.4,57.4,40.9,61.5,37.1,58.3,41.7,67.7,45.3,67.6,4.9,15.6,10.9,0.1,1.0,32.6,34.8,67745,0,32.34
IL-9,73.3,26.7,IL,D,73.38,9.7,Jan,Schakowsky,1998,1944,Woman,White - Non-Hispanic,Jewish,No,Re-elected,70.1,24.9,65.0,33.3,68.6,30.3,66.5,33.5,78.3,33.7,72.1,8.6,7.4,10.3,0.1,1.5,53.2,58.2,67084,1,26.62
IN-1,65.1,34.9,IN,D,69.54,21.5,Pete,Visclosky,1984,1949,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,54.1,41.5,61.2,37.4,63.3,35.8,81.5,0.0,60.0,32.7,68.2,18.4,11.5,0.8,0.2,0.9,22.6,25.8,56370,0,30.46
IN-2,45.2,54.8,IN,R,56.84,95.7,Jackie,Walorski,2012,1963,Woman,White - Non-Hispanic,Christian - Evangelical Protestant,No,Re-elected,36.1,59.3,42.1,56.1,49.6,49.3,36.9,59.3,77.6,50.7,87.3,6.2,4.2,0.8,0.3,1.1,20.8,22.1,51292,1,56.84
IN-3,35.6,64.4,IN,R,61.07,94.6,Jim,Banks,2016,1979,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Ran for Senate and lost in primary,30.1,65.1,35.7,62.5,43.0,56.0,23.0,70.1,88.0,67.0,88.9,5.6,3.0,1.1,0.2,1.2,22.9,23.8,51453,0,61.07
IN-5,43.2,56.8,IN,R,56.05,98.9,Susan,Brooks,2012,1960,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,41.3,53.1,40.7,57.5,46.6,52.6,34.3,61.5,73.4,60.8,86.4,8.1,2.3,2.0,0.1,1.1,45.0,45.9,67461,1,56.05
IN-7,64.8,35.1,IN,D,69.26,16.3,André,Carson,2008 Special,1974,Man,Black - African-American,Muslim,No,Re-elected,59.0,36.2,62.9,35.3,66.3,32.8,60.0,35.7,64.2,37.1,63.7,29.4,3.8,1.2,0.3,1.7,23.5,29.4,41429,0,30.74
IN-8,35.6,64.4,IN,R,61.16,98.9,Larry,Bucshon,2010,1962,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,30.9,64.6,39.6,58.4,48.1,50.6,31.7,63.7,62.4,55.4,92.9,3.9,1.3,0.6,0.2,1.0,21.3,21.5,50261,0,61.16
IN-9,43.5,56.5,IN,R,52.87,87.9,Trey,Hollingsworth,2016,1983,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Ran for Senate and won,34.2,61.1,40.7,57.2,46.2,52.7,40.5,54.1,0.0,55.4,93.4,2.6,1.7,1.0,0.2,1.1,26.3,26.3,55078,0,52.87
KS-1,31.6,68.4,KS,R,64.23,97.8,Roger,Marshall,2016,1960,Man,White - Non-Hispanic,Christian - Nondenominational,No,Open - Lost Primary,24.3,69.3,27.6,70.1,31.0,67.2,0.0,65.9,0.0,100.0,86.0,3.0,8.1,1.0,0.5,1.4,23.9,26.1,48156,0,64.23
KS-3,53.3,44.2,KS,R,45.18,92.3,Kevin,Yoder,2010,1976,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,47.2,46.0,44.3,53.8,48.8,49.9,40.6,51.3,41.1,100.0,81.4,8.5,5.5,2.6,0.3,1.6,47.4,52.3,71562,0,45.18
KS-4,40.2,59.8,KS,R,59.67,94.0,Ron,Estes,2017 Special,1956,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,33.0,60.2,36.1,61.6,39.5,58.6,29.6,60.7,45.0,66.3,81.5,6.5,6.8,2.4,0.9,1.9,29.5,32.0,52054,0,59.67
KY-1,31.4,68.6,KY,R,69.06,92.5,James,Comer,2016,1943,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Vacant (Ed Whitfield) - Resigned After Retiring,23.9,72.4,32.1,66.4,36.9,61.6,27.3,72.6,70.4,69.6,90.1,6.9,1.5,0.4,0.2,0.9,15.7,16.1,40253,0,69.06
KY-2,31.1,66.7,KY,R,62.21,98.9,Brett,Guthrie,2008,1964,Man,White - Non-Hispanic,Christian - Restorationist,No,Re-elected,27.6,67.5,35.1,63.3,37.2,61.5,0.0,100.0,35.9,67.0,90.8,5.4,1.6,0.8,0.2,1.2,20.9,21.1,49960,0,62.21
KY-3,62.1,36.6,KY,D,60.96,18.7,John,Yarmuth,2006,1947,Man,White - Non-Hispanic,Jewish,No,Re-elected,54.9,39.9,55.7,42.8,56.2,42.8,63.5,36.5,40.3,35.1,74.6,20.0,2.3,1.4,0.1,1.5,30.9,34.6,51070,0,39.04
KY-4,34.6,62.2,KY,R,63.59,62.4,Thomas,Massie,2012 Special,1971,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,29.3,65.2,34.8,63.4,37.0,61.5,28.7,71.3,28.3,64.0,93.4,3.3,1.5,0.6,0.1,1.0,28.3,28.3,60912,0,63.59
KY-5,21.1,78.9,KY,R,75.32,98.8,Hal,Rogers,1980,1937,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,17.5,79.6,23.2,75.0,31.6,66.6,0.0,100.0,35.7,77.9,96.7,1.5,0.7,0.2,0.2,0.6,12.4,12.5,30585,0,75.32
KY-6,47.8,51.0,KY,R,48.7,96.8,Andy,Barr,2012,1973,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,39.4,54.7,42.2,55.8,44.8,53.7,38.9,61.1,27.0,52.0,87.6,8.5,1.6,0.9,0.2,1.3,31.7,33.1,50659,0,48.7
LA-1,26.6,71.5,LA,R,68.81,100.0,Steve,Scalise,2008 Special,1965,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,26.7,68.7,26.9,70.9,25.3,72.7,19.5,74.6,39.0,78.0,78.1,12.6,5.4,1.6,1.1,1.2,30.3,33.4,56938,0,68.81
LA-3,30.4,68.4,LA,R,54.91,97.8,Clay,Higgins,2016,1961,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Ran for Senate and lost,29.2,67.3,32.3,66.1,34.1,64.2,17.5,80.7,30.7,78.2,72.1,23.6,2.0,0.9,0.4,1.1,21.0,24.0,44668,0,54.91
LA-4,33.6,64.2,LA,R,62.44,91.1,Mike,Johnson,2016,1972,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Open - Ran for Senate and lost,36.6,60.6,39.7,59.0,39.9,58.9,28.2,69.8,47.0,100.0,61.9,33.1,2.4,0.8,0.8,1.0,19.9,22.9,39748,0,62.44
LA-5,30.0,66.5,LA,R,64.04,93.5,Ralph,Abraham,2014,1954,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,34.1,63.5,37.7,61.0,36.7,62.0,0.0,100.0,52.1,100.0,63.1,34.0,1.3,0.4,0.4,0.7,16.8,19.7,36718,0,64.04
LA-6,28.6,69.5,LA,R,65.67,88.2,Garret,Graves,2014,1972,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,31.0,64.8,32.0,66.1,30.9,67.5,23.9,72.8,68.7,100.0,72.0,22.6,2.5,1.5,0.4,1.1,27.9,30.8,59270,0,65.67
MA-2,67.6,32.4,MA,D,71.18,12.1,Jim,McGovern,1996,1959,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,56.2,36.8,58.7,39.2,60.2,37.3,98.2,0.0,31.3,0.0,85.2,3.3,7.0,3.3,0.2,1.1,38.4,39.4,64868,0,28.82
MA-5,76.0,24.0,MA,D,76.81,14.9,Katherine,Clark,2013 Special,1963,Woman,White - Non-Hispanic,Christian - Protestant,No,Re-elected,69.3,25.7,65.2,33.1,66.2,32.1,98.6,0.0,19.7,24.4,82.0,3.7,5.8,7.0,0.1,1.4,57.4,59.6,92268,1,23.19
MA-6,65.2,31.4,MA,D,66.94,22.0,Seth,Moulton,2014,1978,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,56.1,38.2,54.7,43.9,56.9,41.4,98.4,0.0,63.6,49.4,89.0,2.3,5.0,2.8,0.1,0.9,44.0,46.2,84913,0,33.06
MA-9,59.3,40.7,MA,D,62.21,28.6,Bill,Keating,2010,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,52.5,41.8,55.5,43.1,57.8,40.6,55.7,33.6,57.9,35.4,91.9,2.3,3.3,1.0,0.2,1.3,35.9,37.5,68173,0,37.79
MD-1,37.8,60.3,MD,R,58.12,88.0,Andy,Harris,2010,1957,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,33.4,62.0,37.7,60.4,38.4,59.6,28.6,67.0,56.5,69.8,84.0,11.2,1.9,1.5,0.2,1.1,30.6,32.2,69254,0,58.12
MD-2,66.6,31.4,MD,D,67.38,29.3,Dutch,Ruppersberger,2002,1946,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,60.1,35.7,63.1,35.0,60.6,37.5,62.1,33.1,31.2,32.2,59.1,31.9,3.3,3.7,0.3,1.7,33.4,33.4,69128,0,32.62
MD-3,68.8,28.6,MD,D,68.32,17.4,John,Sarbanes,2006,1962,Man,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,62.8,32.3,60.7,37.1,60.1,38.0,63.2,33.9,55.9,30.7,67.6,20.3,4.5,5.5,0.2,1.9,47.2,51.7,83620,0,31.68
MD-4,77.7,20.3,MD,D,78.6,18.0,Anthony,Brown,2016,1961,Man,Black - African-American,Christian - Roman Catholic,No,Open - Ran for Senate and lost in primary,77.2,19.7,78.1,20.8,77.3,21.8,74.1,21.4,53.5,21.2,31.7,58.1,5.6,2.7,0.2,1.7,34.0,50.2,79350,0,21.4
MD-5,70.0,27.5,MD,D,70.54,17.4,Steny,Hoyer,1981 Special,1939,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,64.1,32.1,66.1,32.4,65.1,33.6,67.4,29.4,54.6,28.5,51.6,38.5,4.1,3.2,0.3,2.3,33.7,34.5,95442,0,29.46
MD-7,76.1,21.6,MD,D,77.08,13.6,Elijah,Cummings,1996 Special,1951,Man,Black - African-American,Christian - Baptist,No,Re-elected,75.8,20.2,76.2,22.3,76.2,22.4,74.9,21.8,56.0,21.4,36.9,54.5,2.3,4.6,0.3,1.5,37.8,58.7,61392,0,22.92
MD-8,67.3,31.1,MD,D,69.16,12.0,Jamie,Raskin,2016,1962,Man,White - Non-Hispanic,Jewish,No,Open - Ran for Senate and won,65.0,30.6,62.0,36.0,62.8,35.6,60.6,34.2,62.1,34.2,70.9,11.0,8.0,8.2,0.2,1.8,55.6,61.6,98991,0,30.84
ME-1,58.8,32.4,ME,D,61.38,16.7,Chellie,Pingree,2008,1955,Woman,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,54.1,39.3,59.6,38.2,60.7,37.5,58.0,41.9,32.9,35.2,95.4,0.9,1.2,1.0,0.3,1.2,36.9,37.3,61173,1,38.62
ME-2,45.5,46.2,ME,R,47.04,96.7,Bruce,Poliquin,2014,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,41.1,51.4,53.0,44.4,54.6,43.4,45.2,54.8,56.3,41.8,96.0,0.4,1.0,0.4,0.8,1.4,23.0,23.1,46638,0,47.04
MI-1,43.7,56.3,MI,R,55.0,96.7,Jack,Bergman,2016,1947,Man,White - Non-Hispanic,Christian - Lutheran,No,Open - Retired,36.6,57.9,45.3,53.6,49.7,48.4,40.1,54.9,45.7,50.3,92.9,1.8,1.2,0.4,2.1,1.6,24.6,25.2,46927,0,55.0
MI-10,35.0,60.3,MI,R,62.15,96.8,Paul,Mitchell,2016,1961,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,31.6,63.8,43.7,55.3,48.0,50.0,32.3,63.1,21.6,69.8,92.5,2.9,2.1,1.2,0.2,1.1,23.0,22.9,60934,0,62.15
MI-12,69.0,28.1,MI,D,69.64,18.5,Debbie,Dingell,2014,1953,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,60.8,34.5,66.2,32.8,66.9,31.4,64.3,29.3,64.1,29.9,80.0,10.3,4.3,3.1,0.3,2.1,34.0,34.0,55506,1,30.36
MI-14,81.9,16.3,MI,D,80.37,16.7,Brenda,Lawrence,2014,1954,Woman,Black - African-American,Christian - Protestant,No,Re-elected,79.2,18.3,81.0,18.6,82.2,17.1,78.5,18.7,68.3,16.0,33.5,58.8,2.9,2.6,0.3,2.0,30.8,48.5,42695,1,19.63
MI-2,43.0,55.3,MI,R,53.63,97.8,Bill,Huizenga,2010,1969,Man,White - Non-Hispanic,Christian - Reformed (Calvinist),No,Re-elected,38.2,55.8,43.1,56.0,48.0,50.3,32.5,62.6,68.1,64.1,85.5,5.8,5.3,1.5,0.4,1.6,23.8,25.7,52919,0,53.63
MI-3,42.5,55.1,MI,R,56.66,54.8,Justin,Amash,2010,1980,Man,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,42.2,51.6,45.8,53.1,49.7,48.6,37.5,59.5,45.0,54.4,85.5,7.9,3.7,1.0,0.4,1.5,31.4,33.6,57926,0,56.66
MI-4,37.4,62.6,MI,R,63.23,98.9,John,Moolenaar,2014,1961,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,34.7,59.5,45.5,53.5,49.6,48.6,32.1,61.6,66.7,65.3,93.5,1.9,2.3,0.5,0.6,1.2,21.9,21.7,48434,0,63.23
MI-5,59.5,35.9,MI,D,65.13,18.9,Dan,Kildee,2012,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,49.7,45.5,60.7,38.3,63.0,35.3,61.2,35.1,63.5,32.6,77.4,16.3,3.8,0.6,0.3,1.6,19.0,20.4,42800,0,34.87
MI-6,45.7,50.2,MI,R,50.98,95.7,Fred,Upton,1986,1953,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,42.9,51.3,48.8,50.2,53.1,45.2,36.4,58.6,66.7,56.2,86.0,7.5,3.4,1.0,0.3,1.8,28.0,29.2,51477,0,50.98
MI-7,46.2,53.8,MI,R,50.72,98.9,Tim,Walberg,"2010, 2006-2008",1951,Man,White - Non-Hispanic,Christian - United Brethren,No,Re-elected,38.7,55.7,47.9,51.0,50.8,47.4,40.0,55.1,67.9,55.4,90.7,4.1,3.1,0.6,0.4,1.1,24.6,24.8,56427,0,50.72
MI-8,50.6,46.8,MI,R,47.3,97.8,Mike,Bishop,2014,1967,Man,White - Non-Hispanic,Christian - Congregationalist,No,Re-elected,43.9,50.6,48.0,51.1,52.0,46.4,39.2,56.0,69.9,61.1,87.2,5.2,3.6,2.1,0.2,1.6,40.6,40.0,66495,0,47.3
MN-2,52.8,47.2,MN,R,46.81,91.1,Jason,Lewis,2016,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,45.3,46.5,49.1,49.0,50.5,47.6,45.2,47.0,55.4,54.1,88.7,3.3,2.8,3.5,0.4,1.3,38.5,40.0,80128,0,46.81
MN-3,55.7,44.3,MN,R,46.93,97.8,Erik,Paulsen,2008,1965,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,50.8,41.4,49.6,48.8,51.0,47.4,43.0,56.7,68.8,58.2,86.8,4.9,1.9,4.8,0.2,1.3,49.0,51.1,84689,0,46.93
MN-4,66.0,29.8,MN,D,67.58,15.4,Betty,McCollum,2000,1954,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,61.5,30.6,62.5,35.5,62.6,35.5,57.8,34.4,45.7,33.6,78.6,7.6,3.7,7.6,0.5,2.0,42.2,47.9,66175,1,32.42
MN-6,38.8,61.2,MN,R,63.28,89.0,Tom,Emmer,2014,1961,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,33.2,58.9,41.5,56.5,43.2,54.7,34.3,65.6,75.4,50.6,93.6,1.6,1.5,1.8,0.4,1.1,29.5,29.7,77049,0,63.28
MN-7,52.1,47.9,MN,D,55.52,67.4,Collin,Peterson,1990,1944,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,31.0,61.8,44.1,53.9,47.1,50.4,52.5,47.4,44.9,36.6,93.4,0.6,2.2,0.5,2.3,1.0,21.8,22.5,52620,0,44.48
MO-1,80.1,16.7,MO,D,78.73,14.3,Lacy,Clay,2000,1956,Man,Black - African-American,Christian - Roman Catholic,No,Re-elected,77.0,18.8,79.9,18.9,80.3,18.6,75.5,20.0,39.4,18.5,46.8,47.8,1.8,1.7,0.2,1.8,31.8,43.4,45172,0,21.27
MO-2,47.1,51.3,MO,R,51.45,96.7,Ann,Wagner,2012,1962,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,42.3,52.6,41.4,57.1,46.4,52.6,37.7,58.5,12.6,61.8,91.1,3.6,1.6,2.6,0.1,0.9,49.2,49.0,79724,1,51.45
